Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Kids,tvui,postPlay,,,2023-12-02 10:48:04
Kids,tvui,playback,,,2023-12-02 10:27:06
Kids,tvui,postPlay,,,2023-12-02 10:27:06
Kids,tvui,postPlay,,,2023-12-02 10:26:50
Kids,tvui,playback,,,2023-12-02 10:26:50
Kids,tvui,playback,,,2023-12-02 10:06:17
Kids,tvui,postPlay,,,2023-12-02 10:06:17
Kids,tvui,playback,,,2023-12-02 10:06:01
Kids,tvui,postPlay,,,2023-12-02 10:06:01
Kids,tvui,playback,,,2023-12-02 09:45:55
Kids,tvui,postPlay,,,2023-12-02 09:45:55
Kids,tvui,postPlay,,,2023-12-02 09:45:39
Kids,tvui,playback,,,2023-12-02 09:45:39
Kids,tvui,postPlay,,,2023-12-02 09:25:15
Kids,tvui,playback,,,2023-12-02 09:25:15
Kids,tvui,playback,,,2023-12-02 09:24:59
Kids,tvui,postPlay,,,2023-12-02 09:24:59
Kids,tvui,movieDetails,,,2023-12-02 09:15:46
Kids,tvui,playback,,,2023-12-02 09:15:46
Kids,tvui,movieDetails,,,2023-12-02 09:15:42
Kids,tvui,browseTitles,,,2023-12-02 09:15:42
Kids,tvui,browseTitles,,,2023-12-02 09:15:33
Kids,tvui,profileSelectionTransitionAnimation,,,2023-12-02 09:15:33
Kids,tvui,profileSelectionTransitionAnimation,,,2023-12-02 09:15:32
Kids,tvui,profilesGate,,,2023-12-02 09:15:32
Kids,tvui,profilesGate,,,2023-12-02 09:15:22
Kids,tvui,playback,,,2023-11-18 15:05:12
Kids,tvui,movieDetails,,,2023-11-18 15:05:12
Kids,tvui,movieDetails,,,2023-11-18 13:33:43
Kids,tvui,playback,,,2023-11-18 13:33:43
Kids,tvui,search,,,2023-11-18 13:33:41
Kids,tvui,movieDetails,,,2023-11-18 13:33:41
Kids,tvui,browseTitles,,,2023-11-18 13:33:25
Kids,tvui,search,,,2023-11-18 13:33:25
Kids,tvui,browseTitles,,,2023-11-18 13:30:45
Kids,tvui,profileSelectionTransitionAnimation,,,2023-11-18 13:30:45
Kids,tvui,profilesGate,,,2023-11-18 13:30:44
Kids,tvui,profileSelectionTransitionAnimation,,,2023-11-18 13:30:44
Kids,tvui,profilesGate,,,2023-11-18 12:49:17
Kids,tvui,movieDetails,,,2023-11-18 12:49:17
Kids,tvui,playback,,,2023-11-18 12:19:16
Kids,tvui,movieDetails,,,2023-11-18 12:19:16
Kids,tvui,postPlay,,,2023-11-18 11:57:36
Kids,tvui,playback,,,2023-11-18 11:57:36
Kids,tvui,playback,,,2023-11-18 11:57:21
Kids,tvui,postPlay,,,2023-11-18 11:57:21
Kids,tvui,playback,,,2023-11-18 11:35:36
Kids,tvui,postPlay,,,2023-11-18 11:35:36
Kids,tvui,playback,,,2023-11-18 11:35:20
Kids,tvui,postPlay,,,2023-11-18 11:35:20
Kids,tvui,episodesSelector,,,2023-11-18 11:11:59
Kids,tvui,playback,,,2023-11-18 11:11:59
Kids,tvui,movieDetails,,,2023-11-18 11:10:16
Kids,tvui,episodesSelector,,,2023-11-18 11:10:16
Kids,tvui,browseTitles,,,2023-11-18 11:10:09
Kids,tvui,movieDetails,,,2023-11-18 11:10:09
Kids,tvui,profileSelectionTransitionAnimation,,,2023-11-18 11:05:48
Kids,tvui,browseTitles,,,2023-11-18 11:05:48
Kids,tvui,profilesGate,,,2023-11-18 11:05:47
Kids,tvui,profileSelectionTransitionAnimation,,,2023-11-18 11:05:47
Kids,tvui,profilesGate,,,2023-11-18 11:04:52
Kids,tvui,profilesGate,,,2023-11-12 19:31:54
Evis,android,playback,,,2024-02-29 14:03:41
Evis,android,browseTitles,,,2024-02-29 14:03:41
Evis,android,browseTitles,,,2024-02-29 14:00:56
Evis,android,playback,,,2024-02-29 14:00:56
Evis,android,browseTitles,,,2024-02-29 14:00:55
Evis,android,playback,,,2024-02-29 14:00:55
Evis,android,browseTitles,,,2024-02-29 14:00:51
Evis,android,playback,,,2024-02-29 14:00:51
Evis,android,playback,,,2024-02-29 13:46:26
Evis,android,browseTitles,,,2024-02-29 13:46:26
Evis,android,profilesGate,,,2024-02-29 13:46:23
Evis,android,browseTitles,,,2024-02-29 13:46:23
Evis,android,browseTitles,,,2024-02-29 13:44:34
Evis,android,playback,,,2024-02-29 13:44:34
Evis,www,playback,/watch/81666199?trackId=14170286,/watch/81666200?trackId=155573558,2024-02-28 22:08:05
Evis,www,playback,/watch/81666200?trackId=155573558,/watch/81666201?trackId=155573558,2024-02-28 22:08:05
