Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Kids,Trailer: Vivo,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:41:21,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1042,""mediaOffsetMs"":0}]"
Kids,Season 1 Trailer: Phantom Pups,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:41:10,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2359,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":9882,""mediaOffsetMs"":7425},{""eventType"":""stopped"",""sessionOffsetMs"":11203,""mediaOffsetMs"":7514}]"
Kids,Season 4 Trailer: The Worst Witch,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:41:09,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":782,""mediaOffsetMs"":0}]"
Kids,Creeped Out: Season 2 (Trailer),Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:41:05,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":834,""mediaOffsetMs"":0}]"
Kids,Tall Girl (Trailer),Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:41:05,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2159,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2436,""mediaOffsetMs"":24},{""eventType"":""stopped"",""sessionOffsetMs"":3751,""mediaOffsetMs"":260}]"
Kids,Trailer: Vicky and Her Mystery,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:41:04,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1306},{""eventType"":""stopped"",""sessionOffsetMs"":674,""mediaOffsetMs"":1306}]"
Kids,Trailer: Vicky and Her Mystery,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:41:03,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1145,""mediaOffsetMs"":0}]"
Kids,Season 4 Trailer: The Worst Witch,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:41:02,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":893,""mediaOffsetMs"":0}]"
Kids,Trailer: The Boss Baby: Christmas Bonus,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:41:01,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":13},{""eventType"":""stopped"",""sessionOffsetMs"":672,""mediaOffsetMs"":13}]"
Kids,Tall Girl (Trailer),Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:40:57,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2188,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3750,""mediaOffsetMs"":1306},{""eventType"":""stopped"",""sessionOffsetMs"":5253,""mediaOffsetMs"":1558}]"
Kids,The Christmas Chronicles (Trailer),Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:40:56,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":13},{""eventType"":""stopped"",""sessionOffsetMs"":625,""mediaOffsetMs"":13}]"
Kids,Trailer: The Monkey King,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:40:56,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":13},{""eventType"":""stopped"",""sessionOffsetMs"":598,""mediaOffsetMs"":13}]"
Kids,Trailer Power Rangers Cosmic Fury,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:40:54,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":616,""mediaOffsetMs"":0}]"
Kids,Trailer: Secret Magic Control Agency,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:40:53,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1567,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1737,""mediaOffsetMs"":13},{""eventType"":""stopped"",""sessionOffsetMs"":2999,""mediaOffsetMs"":145}]"
Kids,Trailer: Pinocchio,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:40:49,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":657,""mediaOffsetMs"":0}]"
Kids,Trailer: The Sea Beast,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:40:49,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":905,""mediaOffsetMs"":0}]"
