Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Kids,NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,DefaultWidevineAndroidPhone,2023-03-30T16:36:13.923,2024-02-09T06:09:14.446,2023-03-30T16:36:13.923,2024-02-09T06:09:14.446,2023-07-13T19:38:25.364,2023-07-13T20:03:20.723,2023-07-13T19:38:25.364,2023-07-13T20:03:20.723,
Redona,NFCDCH-02-K3VCMDEP3W967TF2T03PEQPY6GDTN4,Chrome PC (Cadmium),2023-04-17T20:39:55.724,2023-05-01T13:57:08.945,2023-04-18T14:19:39.684,2023-05-01T13:57:08.945,2023-04-17T20:39:55.724,2023-04-17T20:44:10.716,,,
Redona,NFCDCH-02-JQZPWJCAFDY8H3DYAT0T970VF6EMGD,Chrome PC (Cadmium),2022-11-24T21:01:17.440,2023-04-03T19:24:18.593,2022-11-24T21:01:38.496,2023-04-03T19:24:18.593,2023-01-04T18:28:27.961,2023-03-28T06:29:46.289,2023-02-11T14:43:14.198,2023-03-27T19:53:26.459,
Redona,NFAPPL-02-IPHONE10=3-52D682CADDA4D4197C0217C85F2B577B7D137E31F77F7835336CDB9C1BE55651,Apple iPhone X (CDMA),2022-12-30T13:26:09.012,2023-03-17T19:34:20.184,2023-01-15T13:45:04.147,2023-01-18T20:25:23.387,2022-12-31T15:01:09.864,2023-03-17T19:34:20.184,2023-01-15T13:45:04.147,2023-01-18T20:25:23.387,
Redona,NFAPPL-02-IPHONE10=2-52D682CADDA4D4197C0217C85F2B577B7D137E31F77F7835336CDB9C1BE55651,Apple iPhone 8 Plus (CDMA),2021-07-23T09:19:01.033,2022-12-29T16:03:34.137,2022-04-02T16:46:03.702,2022-10-27T16:55:30.910,2022-04-02T16:46:03.702,2022-12-23T17:47:20.852,2022-04-02T16:46:03.702,2022-10-01T19:52:23.056,
Redona,NFCDCH-02-JHGQ85WXQ5UC986X20DRMPML495J6F,Chrome PC (Cadmium),2022-08-25T20:36:41.456,2022-09-22T19:12:01.694,2022-08-25T20:36:41.456,2022-09-22T19:12:01.694,2022-09-17T20:09:31.600,2022-09-17T20:10:27.899,,,
Redona,NFCDCH-02-HX0WXM5CDP0TYFA1FKHMXT0JAJCFLH,Chrome PC (Cadmium),2022-01-03T13:27:58.660,2022-07-22T06:04:28.432,2022-03-07T16:54:30.084,2022-07-22T06:04:28.432,2022-03-30T19:54:36.676,2022-06-24T21:06:18.636,2022-03-30T19:54:36.676,2022-06-24T21:06:18.636,
Redona,NFCDCH-02-HN5XRDQWP7HT0WEHX3JQAXV4XA2N1T,Chrome PC (Cadmium),2021-09-28T11:05:57.417,2021-11-14T12:37:00.633,2021-11-14T12:37:00.633,2021-11-14T12:37:00.633,2021-11-14T12:37:00.633,2021-11-14T12:37:00.633,2021-11-14T12:37:00.633,2021-11-14T12:37:00.633,
Evis,NFCDCH-02-HMYUQXV3AV28AQQJUYPHHYKQLQMJ5A,Chrome PC (Cadmium),2021-09-27T11:58:17.150,2021-09-27T12:02:50.185,,,2021-09-27T11:58:17.150,2021-09-27T12:02:50.185,,,
Evis,NFCDCH-02-HHTVKQV4UURTH4KWY5KQKE50V0JHKN,Chrome PC (Cadmium),2021-08-27T18:15:34.511,2021-09-18T11:49:26.328,,,2021-08-27T18:15:34.511,2021-09-18T11:49:26.328,,,
Evis,NFCDCH-02-HFCAF2AX3RQ9QRKH11C43MG945NE39,Chrome PC (Cadmium),2021-07-23T11:09:33.348,2021-07-23T11:09:33.348,,,2021-07-23T11:09:33.348,2021-07-23T11:09:33.348,,,
Kids,NFANDROID2-PRV-PHTV19AMT0-PHILITPM191E-11025-8520C26FC23C889F7E446C9AEDF9D6336DCE956A554A3C2E80BD112C717658C7,TPV PHTV19AMT0  Smart TV,2020-11-08T11:36:38.668,2020-11-08T11:37:04.364,2020-11-08T11:36:38.668,2020-11-08T11:37:04.364,2020-11-08T11:36:38.668,2020-11-08T11:37:04.364,2020-11-08T11:36:38.668,2020-11-08T11:37:04.364,
Evis,NFCDCH-02-H9E62JP2M3A7V4QV5ERRLJ824NGR2C,Chrome PC (Cadmium),,,,,,,,,
Evis,NFCDCH-02-H5Z6WWAY1T474F0XDQATK6FNTM1QGG,Chrome PC (Cadmium),,,,,,,,,
Evis,NFCDCH-02-GX98ZVL14REUMXY6W83AKVTF7655H1,Chrome PC (Cadmium),,,,,,,,,
Evis,NFCDCH-02-G6MV89A07C8XUX5A10TYRM3854T22X,Chrome PC (Cadmium),,,,,,,,,
Evis,NFCDCH-02-GMGLKJR3FXCHFRH5FAARH6DTTWJTWY,Chrome PC (Cadmium),,,,,,,,,
Evis,NFCDCH-02-GC54NUEKWCN0CAJV1VMPWYG3RVFE0N,Chrome PC (Cadmium),,,,,,,,,
Evis,NFCDFF-02-GF4WNJ4XL7L18KNHK4X3XE9U1E4CYJ,Firefox PC (Cadmium),,,,,,,,,
Evis,NFCDCH-02-HKW31U3L5JDADK39FLC3YT709XM75J,Chrome PC (Cadmium),,,,,,,,,
Evis,NFCDCH-02-KW9X0X1FT9X3UGC4FPJ0DA6JL82C3X,Chrome PC (Cadmium),2024-02-08T15:36:30.048,2024-02-08T15:37:21.868,2024-02-08T15:37:21.868,2024-02-08T15:37:21.868,2024-02-08T15:36:30.048,2024-02-08T15:37:21.868,2024-02-08T15:37:21.868,2024-02-08T15:37:21.868,2024-02-13T10:18:31.819
